prediction_id,timestamp,symbol,direction,bullish_probability,bearish_probability,confidence,regime,data_coverage,intelligence_coverage,phase24_grade,phase24_eligible,entry_nq,aligned_signals,opposed_signals,missing_signals,signal_combo,phase25_grade,phase25_eligible,confluence_score,confluence_alignment,confluence_completeness,confluence_features,alert_level,target_4h,target_8h,nq_4h,nq_8h,actual_4h,actual_8h,correct_4h,correct_8h,resolved_4h_at,resolved_8h_at
NQ-P26-20260902T1900Z,2026-09-02T19:52:00.811016+00:00,NQ,BULLISH,53.6,46.4,54.5,BALANCED,1.0,0.76,NO_TRADE,False,29163.5,"[""NQ structure"",""SPX confirmation"",""US10Y"",""Mega-cap leadership"",""Semiconductors"",""Breadth""]","[""DXY"",""News""]",[],Breadth+Mega-cap leadership+NQ structure+SPX confirmation+Semiconductors+US10Y,,,,,,,,2026-09-02T23:52:00.811016+00:00,2026-09-03T03:52:00.811016+00:00,29205.25,29221.0,BULLISH,BULLISH,True,True,2026-09-03T03:30:29.974766+00:00,2026-09-03T03:57:19.700566+00:00
NQ-P26-20260903T0300Z,2026-09-03T03:30:29.970842+00:00,NQ,BULLISH,60.6,39.4,61.9,TRANSITION,0.92,0.69,NO_TRADE,False,29225.5,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth"",""News""]","[""US10Y""]","[""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+News+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T07:30:29.970842+00:00,2026-09-03T11:30:29.970842+00:00,29203.0,29162.5,BEARISH,BEARISH,False,False,2026-09-03T07:30:48.462617+00:00,2026-09-03T11:31:12.701568+00:00
NQ-P26-20260903T0400Z,2026-09-03T04:19:25.389426+00:00,NQ,BULLISH,57.7,42.3,56.9,TRANSITION,0.92,0.69,NO_TRADE,False,29245.25,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth""]","[""US10Y"",""News""]","[""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T08:19:25.389426+00:00,2026-09-03T12:19:25.389426+00:00,29244.75,29131.0,BEARISH,BEARISH,False,False,2026-09-03T08:20:00.383447+00:00,2026-09-03T12:19:37.206260+00:00
NQ-P26-20260903T0500Z,2026-09-03T05:00:40.311677+00:00,NQ,BULLISH,59.8,40.2,61.4,TRANSITION,0.92,0.69,NO_TRADE,False,29220.75,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth"",""News""]","[""US10Y""]","[""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+News+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T09:00:40.311677+00:00,2026-09-03T13:00:40.311677+00:00,29230.0,29201.5,BULLISH,BEARISH,True,False,2026-09-03T09:00:55.067152+00:00,2026-09-03T13:00:47.812105+00:00
NQ-P26-20260903T0600Z,2026-09-03T06:00:38.615895+00:00,NQ,BULLISH,62.1,37.9,62.8,TRANSITION,0.92,0.69,NO_TRADE,False,29167.0,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth"",""News""]","[""US10Y""]","[""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+News+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T10:00:38.615895+00:00,2026-09-03T14:00:38.615895+00:00,29162.0,29360.5,BEARISH,BULLISH,False,True,2026-09-03T10:00:39.987980+00:00,2026-09-03T14:01:04.727183+00:00
NQ-P26-20260903T0700Z,2026-09-03T07:00:46.691287+00:00,NQ,BULLISH,54.6,45.4,53.3,BALANCED,0.92,0.69,NO_TRADE,False,29168.5,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth""]","[""US10Y"",""News""]","[""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T11:00:46.691287+00:00,2026-09-03T15:00:46.691287+00:00,29114.25,29301.25,BEARISH,BULLISH,False,True,2026-09-03T11:00:49.242300+00:00,2026-09-03T15:01:14.867390+00:00
NQ-P26-20260903T0800Z,2026-09-03T08:00:15.867818+00:00,NQ,BULLISH,60.0,40.0,61.1,TRANSITION,0.92,0.69,NO_TRADE,False,29188.0,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth"",""News""]","[""US10Y""]","[""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+News+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T12:00:15.867818+00:00,2026-09-03T16:00:15.867818+00:00,29107.75,29513.75,BEARISH,BULLISH,False,True,2026-09-03T12:00:23.714157+00:00,2026-09-03T16:00:46.436577+00:00
NQ-P26-20260903T0900Z,2026-09-03T09:00:14.224742+00:00,NQ,BULLISH,61.4,38.6,62.4,TRANSITION,0.92,0.69,NO_TRADE,False,29233.0,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth"",""News""]","[""US10Y""]","[""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+News+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T13:00:14.224742+00:00,2026-09-03T17:00:14.224742+00:00,29201.5,29526.0,BEARISH,BULLISH,False,True,2026-09-03T13:00:47.812105+00:00,2026-09-03T17:00:34.706197+00:00
NQ-P26-20260903T1000Z,2026-09-03T10:00:39.983923+00:00,NQ,BULLISH,61.9,38.1,62.7,TRANSITION,0.92,0.69,NO_TRADE,False,29164.0,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth"",""News""]","[""US10Y""]","[""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+News+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T14:00:39.983923+00:00,2026-09-03T18:00:39.983923+00:00,29360.5,29539.5,BULLISH,BULLISH,True,True,2026-09-03T14:01:04.727183+00:00,2026-09-03T18:01:29.660071+00:00
NQ-P26-20260903T1100Z,2026-09-03T11:00:49.238571+00:00,NQ,BULLISH,59.8,40.2,58.2,TRANSITION,0.92,0.69,NO_TRADE,False,29114.75,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth""]","[""US10Y"",""News""]","[""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T15:00:49.238571+00:00,2026-09-03T19:00:49.238571+00:00,29301.25,29568.75,BULLISH,BULLISH,True,True,2026-09-03T15:01:14.867390+00:00,2026-09-03T19:01:17.573047+00:00
NQ-P26-20260903T1200Z,2026-09-03T12:00:23.710089+00:00,NQ,BULLISH,62.5,37.5,60.3,TRANSITION,0.85,0.637,NO_TRADE,False,29107.0,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth""]","[""US10Y""]","[""News"",""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T16:00:23.710089+00:00,2026-09-03T20:00:23.710089+00:00,29513.75,29514.75,BULLISH,BULLISH,True,True,2026-09-03T16:00:46.436577+00:00,2026-09-03T20:26:22.528924+00:00
NQ-P26-20260903T1300Z,2026-09-03T13:00:47.807291+00:00,NQ,BULLISH,64.1,35.9,61.2,TRANSITION,0.85,0.637,NO_TRADE,False,29201.75,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Semiconductors"",""Breadth""]","[""US10Y""]","[""News"",""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+SPX confirmation+Semiconductors,,,,,,,,2026-09-03T17:00:47.807291+00:00,2026-09-03T21:00:47.807291+00:00,29524.5,29502.25,BULLISH,BULLISH,True,True,2026-09-03T17:01:33.862239+00:00,2026-09-06T22:42:03.603782+00:00
NQ-P26-20260903T1400Z,2026-09-03T14:00:01.058557+00:00,NQ,BULLISH,59.9,40.1,53.0,TRANSITION,0.85,0.637,NO_TRADE,False,29358.0,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Breadth""]","[""US10Y"",""Semiconductors""]","[""News"",""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+SPX confirmation,,,,,,,,2026-09-03T18:00:01.058557+00:00,2026-09-03T22:00:01.058557+00:00,29528.5,29494.25,BULLISH,BULLISH,True,True,2026-09-03T18:00:29.539720+00:00,2026-09-06T22:42:03.603782+00:00
NQ-P26-20260903T1500Z,2026-09-03T15:00:21.605067+00:00,NQ,BULLISH,59.0,41.0,52.6,TRANSITION,0.85,0.637,NO_TRADE,False,29313.0,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Breadth""]","[""US10Y"",""Semiconductors""]","[""News"",""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+SPX confirmation,,,,,,,,2026-09-03T19:00:21.605067+00:00,2026-09-03T23:00:21.605067+00:00,29575.0,29507.25,BULLISH,BULLISH,True,True,2026-09-03T19:00:30.881494+00:00,2026-09-06T22:42:03.603782+00:00
NQ-P26-20260903T1600Z,2026-09-03T16:00:46.432878+00:00,NQ,BULLISH,70.6,29.4,62.3,TREND,0.85,0.637,A,False,29512.5,"[""NQ structure"",""SPX confirmation"",""DXY"",""Mega-cap leadership"",""Breadth""]","[""US10Y""]","[""News"",""Macro calendar"",""Earnings/guidance""]",Breadth+DXY+Mega-cap leadership+NQ structure+SPX confirmation,,,,,,,,2026-09-03T20:00:46.432878+00:00,2026-09-04T00:00:46.432878+00:00,29514.75,29511.25,BULLISH,BEARISH,True,False,2026-09-03T20:26:22.528924+00:00,2026-09-06T22:42:03.603782+00:00
